SAMSUNG-GT-E3309I Opera/9.80 (J2ME/MIDP; Opera Mini/4.4.33943/37.9031; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-GT-E3309I Opera/9.80 (J2ME/MIDP; Opera Mini/4.4.33943/60.297; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-GT-E3309I Opera/9.80 (J2ME/MIDP; Opera Mini/4.4.33943/37.7936; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-GT-E3309I Opera/9.80 (J2ME/MIDP; Opera Mini/4.4.33943/37.8923; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-GT-E3309I Opera/9.80 (J2ME/MIDP; Opera Mini/4.4.34273/36.2381; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-GT-E3309I Opera/9.80 (J2ME/MIDP; Opera Mini/4.4.34952/73.99; U; id) Presto/2.12.423 Version/12.16
SAMSUNG-GT-E3309I Opera/9.80 (J2ME/MIDP; Opera Mini/4.4.33943/37.8861; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-GT-E3309I Opera/9.80 (J2ME/MIDP; Opera Mini/4.4.34273/76.171; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-GT-E3309I Opera/9.80 (J2ME/MIDP; Opera Mini/4.4.34273/75.35; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-GT-E3309I Opera/9.80 (J2ME/MIDP; Opera Mini/4.4.33943/37.9072; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-GT-E3309I Opera/9.80 (J2ME/MIDP; Opera Mini/4.4.33943/37.9389; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-GT-E3309I Opera/9.80 (J2ME/MIDP; Opera Mini/4.4.33943/66.247; U; ms) Presto/2.12.423 Version/12.16
SAMSUNG-GT-E3309I Opera/9.80 (J2ME/MIDP; Opera Mini/4.4.34173/58.167; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-GT-E3309I Opera/9.80 (J2ME/MIDP; Opera Mini/4.4.33943/37.9093; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-GT-E3309I Opera/9.80 (J2ME/MIDP; Opera Mini/4.4.33943/37.6252; U; en) Presto/2.12.423 Version/12.16
UCWEB/2.0 (Java; U; MIDP-2.0; id; SAMSUNG-GT-E3309I) U2/1.0.0 UCBrowser/9.5.0.449 U2/1.0.0 Mobile UNTRUSTED/1.0
SAMSUNG-GT-E3309I Opera/9.80 (J2ME/MIDP; Opera Mini/4.4.33943/73.132; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-GT-E3309I Opera/9.80 (J2ME/MIDP; Opera Mini/4.4.33943/117.37; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-GT-E3309I Opera/9.80 (J2ME/MIDP; Opera Mini/4.4.33943/60.313; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-GT-E3309I Opera/9.80 (J2ME/MIDP; Opera Mini/4.4.34273/63.235; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-GT-E3309I Opera/9.80 (J2ME/MIDP; Opera Mini/4.4.33943/66.318; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-GT-E3309I Opera/9.80 (J2ME/MIDP; Opera Mini/4.4.34273/66.299; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-GT-E3309I Opera/9.80 (J2ME/MIDP; Opera Mini/4.4.33943/37.7751; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-GT-E3309I Opera/9.80 (J2ME/MIDP; Opera Mini/4.4.33943/79.13; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-GT-E3309I Opera/9.80 (J2ME/MIDP; Opera Mini/4.4.33943/37.7206; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-GT-E3309I Opera/9.80 (J2ME/MIDP; Opera Mini/4.4.33943/57.135; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-GT-E3309I Opera/9.80 (J2ME/MIDP; Opera Mini/4.4.33943/36.2534; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-GT-E3309I Opera/9.80 (J2ME/MIDP; Opera Mini/4.4.33943/35.3956; U; en) Presto/2.8.119 Version/11.10
SAMSUNG-GT-E3309I Opera/9.80 (J2ME/MIDP; Opera Mini/4.4.33943/118.134; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-GT-E3309I Opera/9.80 (J2ME/MIDP; Opera Mini/4.4.34273/69.190; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-GT-E3309I Opera/9.80 (J2ME/MIDP; Opera Mini/4.4.33943/77.161; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-GT-E3309I Opera/9.80 (J2ME/MIDP; Opera Mini/4.4.33943/37.6334; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-GT-E3309I Opera/9.80 (J2ME/MIDP; Opera Mini/4.4.34952/58.167; U; id) Presto/2.12.423 Version/12.16
SAMSUNG-GT-E3309I Opera/9.80 (J2ME/MIDP; Opera Mini/4.4.34952/77.161; U; id) Presto/2.12.423 Version/12.16
SAMSUNG-GT-E3309I Opera/9.80 (J2ME/MIDP; Opera Mini/4.4.33943/36.1556; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-GT-E3309I Opera/9.80 (J2ME/MIDP; Opera Mini/4.4.33943/35.7382; U; en) Presto/2.8.119 Version/11.10
