SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40326/79.13; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40326/75.35; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40326/60.313; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40379/65.213; U; tr) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.35844/75.35; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40326/88.150; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40379/60.297; U; tr) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40326/65.213; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40336/66.318; U; ar) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40379/66.318; U; fr) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40326/37.8325; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40326/61.445; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40326/83.113; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40326/37.8474; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40356/37.8625; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40326/37.8773; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40336/71.119; U; fa) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40326/113.82; U; mr) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40326/37.9389; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40326/58.172; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40326/37.8923; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40326/37.8025; U; hi) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40326/37.8233; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40326/77.161; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40326/66.234; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40379/69.240; U; fr) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40326/105.73; U; hi) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40326/59.342; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40379/61.485; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40326/66.318; U; hi) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40326/90.140; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40336/71.122; U; fa) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40326/69.240; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40326/65.281; U; kn) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40326/71.132; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40326/61.485; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40326/66.247; U; hi) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40379/69.162; U; tr) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40356/65.213; U; fa) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40326/75.35; U; hi) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40326/62.178; U; hi) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40326/66.247; U; bn) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40356/37.9178; U; fr) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40326/37.9072; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40326/76.201; U; hi) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40326/66.318; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40326/118.134; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40326/57.135; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40326/66.330; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40336/76.171; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40326/111.24; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40326/79.6; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40379/66.299; U; tr) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40326/37.9224; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40356/67.386; U; tr) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40379/66.247; U; fr) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40326/59.323; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40336/37.8380; U; fr) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40326/37.7663; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40326/37.7148; U; hi) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40326/69.190; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40326/90.140; U; mr) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40326/63.246; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40337/37.9389; U; uk) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40326/117.41; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40326/66.299; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40326/90.169; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40326/67.443; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40326/37.8625; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40326/63.203; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40379/73.99; U; fr) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40326/67.424; U; hi) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40326/37.9433; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40326/60.297; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40379/66.318; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40326/79.10; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40326/93.110; U; hi) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40326/115.31; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40326/76.201; U; gu) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40326/37.8529; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40326/59.267; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40326/37.9093; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40326/37.8069; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.35844/60.271; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.35844/118.144; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40326/37.9178; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40326/37.9154; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40326/37.8552; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40326/37.9031; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40326/37.9261; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40379/73.132; U; tr) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40326/76.201; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40326/73.132; U; hi) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40356/85.73; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40326/95.90; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.35844/107.71; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40379/69.162; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40326/71.127; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40337/60.313; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40336/58.172; U; fr) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40326/65.290; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40326/67.443; U; hi) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40356/71.127; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40326/73.132; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.35844/83.113; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40379/37.9339; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40326/87.26; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40326/67.406; U; hi) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.35844/113.82; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40379/67.440; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40379/59.297; U; ar) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40379/77.161; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40326/93.110; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40379/75.35; U; tr) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.35844/59.309; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40379/62.178; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40326/73.123; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40326/37.9285; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40326/66.234; U; hi) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40356/69.162; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40336/37.8841; U; tr) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40379/66.299; U; en) Presto/2.12.423 Version/12.16
